event_id,event_name,region,match_id,map,team,opponent,rounds_played,result,start_time
2720,China Evolution Series: Epilogue,China,582531,Split,Nova Esports,EDward Gaming,16,1,
2720,China Evolution Series: Epilogue,China,582531,Split,EDward Gaming,Nova Esports,16,0,
2720,China Evolution Series: Epilogue,China,582531,Sunset,Nova Esports,EDward Gaming,22,0,
2720,China Evolution Series: Epilogue,China,582531,Sunset,EDward Gaming,Nova Esports,22,1,
2720,China Evolution Series: Epilogue,China,582531,Haven,Nova Esports,EDward Gaming,17,1,
2720,China Evolution Series: Epilogue,China,582531,Haven,EDward Gaming,Nova Esports,17,0,
2720,China Evolution Series: Epilogue,China,582532,Haven,JDG Esports,Any Questions Gaming,19,1,
2720,China Evolution Series: Epilogue,China,582532,Haven,Any Questions Gaming,JDG Esports,19,0,
2720,China Evolution Series: Epilogue,China,582532,Sunset,JDG Esports,Any Questions Gaming,22,1,
2720,China Evolution Series: Epilogue,China,582532,Sunset,Any Questions Gaming,JDG Esports,22,0,
2720,China Evolution Series: Epilogue,China,582533,Bind,Titan Esports Club,Trace Esports,17,0,
2720,China Evolution Series: Epilogue,China,582533,Bind,Trace Esports,Titan Esports Club,17,1,
2720,China Evolution Series: Epilogue,China,582533,Haven,Titan Esports Club,Trace Esports,21,0,
2720,China Evolution Series: Epilogue,China,582533,Haven,Trace Esports,Titan Esports Club,21,1,
2720,China Evolution Series: Epilogue,China,582534,Abyss,Wolves Esports,FunPlus Phoenix,23,0,
2720,China Evolution Series: Epilogue,China,582534,Abyss,FunPlus Phoenix,Wolves Esports,23,1,
2720,China Evolution Series: Epilogue,China,582534,Haven,Wolves Esports,FunPlus Phoenix,24,1,
2720,China Evolution Series: Epilogue,China,582534,Haven,FunPlus Phoenix,Wolves Esports,24,0,
2720,China Evolution Series: Epilogue,China,582534,Corrode,Wolves Esports,FunPlus Phoenix,19,0,
2720,China Evolution Series: Epilogue,China,582534,Corrode,FunPlus Phoenix,Wolves Esports,19,1,
2720,China Evolution Series: Epilogue,China,582535,Split,Nova Esports,JDG Esports,18,1,
2720,China Evolution Series: Epilogue,China,582535,Split,JDG Esports,Nova Esports,18,0,
2720,China Evolution Series: Epilogue,China,582535,Haven,Nova Esports,JDG Esports,19,0,
2720,China Evolution Series: Epilogue,China,582535,Haven,JDG Esports,Nova Esports,19,1,
2720,China Evolution Series: Epilogue,China,582535,Sunset,Nova Esports,JDG Esports,23,1,
2720,China Evolution Series: Epilogue,China,582535,Sunset,JDG Esports,Nova Esports,23,0,
2720,China Evolution Series: Epilogue,China,582536,Haven,Trace Esports,FunPlus Phoenix,19,0,
2720,China Evolution Series: Epilogue,China,582536,Haven,FunPlus Phoenix,Trace Esports,19,1,
2720,China Evolution Series: Epilogue,China,582536,Abyss,Trace Esports,FunPlus Phoenix,23,1,
2720,China Evolution Series: Epilogue,China,582536,Abyss,FunPlus Phoenix,Trace Esports,23,0,
2720,China Evolution Series: Epilogue,China,582536,Bind,Trace Esports,FunPlus Phoenix,16,0,
2720,China Evolution Series: Epilogue,China,582536,Bind,FunPlus Phoenix,Trace Esports,16,1,
2720,China Evolution Series: Epilogue,China,582538,Split,JDG Esports,Trace Esports,24,0,
2720,China Evolution Series: Epilogue,China,582538,Split,Trace Esports,JDG Esports,24,1,
2720,China Evolution Series: Epilogue,China,582538,Haven,JDG Esports,Trace Esports,20,1,
2720,China Evolution Series: Epilogue,China,582538,Haven,Trace Esports,JDG Esports,20,0,
2720,China Evolution Series: Epilogue,China,582538,Abyss,JDG Esports,Trace Esports,24,1,
2720,China Evolution Series: Epilogue,China,582538,Abyss,Trace Esports,JDG Esports,24,0,
2720,China Evolution Series: Epilogue,China,582538,Sunset,JDG Esports,Trace Esports,26,0,
2720,China Evolution Series: Epilogue,China,582538,Sunset,Trace Esports,JDG Esports,26,1,
2720,China Evolution Series: Epilogue,China,582538,Pearl,JDG Esports,Trace Esports,14,1,
2720,China Evolution Series: Epilogue,China,582538,Pearl,Trace Esports,JDG Esports,14,0,
2720,China Evolution Series: Epilogue,China,582537,Bind,Nova Esports,FunPlus Phoenix,20,0,
2720,China Evolution Series: Epilogue,China,582537,Bind,FunPlus Phoenix,Nova Esports,20,1,
2720,China Evolution Series: Epilogue,China,582537,Haven,Nova Esports,FunPlus Phoenix,26,1,
2720,China Evolution Series: Epilogue,China,582537,Haven,FunPlus Phoenix,Nova Esports,26,0,
2720,China Evolution Series: Epilogue,China,582537,Corrode,Nova Esports,FunPlus Phoenix,24,0,
2720,China Evolution Series: Epilogue,China,582537,Corrode,FunPlus Phoenix,Nova Esports,24,1,
2720,China Evolution Series: Epilogue,China,582537,Sunset,Nova Esports,FunPlus Phoenix,26,0,
2720,China Evolution Series: Epilogue,China,582537,Sunset,FunPlus Phoenix,Nova Esports,26,1,
